company_name,date,company_id,,,,,,,
パワーシェアリング,2016/5/30,120160530A062,,,,,,,
,,,,,,,,,
data_id,company_name,transaction_at,area,val1,val2,val3,val4,val5,val6
11605314402A00011,パワーシェアリング,2016/05/31 21:30-22:00,東北,9.26,1,4630,0.03,15,0.5
11605314403A00035,パワーシェアリング,2016/05/31 21:30-22:00,東京,9.26,2,9260,0.03,30,0.5
11605314406A00021,パワーシェアリング,2016/05/31 21:30-22:00,関西,8.06,2,8060,0.03,30,0.5
11605314409A00011,パワーシェアリング,2016/05/31 21:30-22:00,九州,8.06,1,4030,0.03,15,0.5
11605314501A00007,パワーシェアリング,2016/05/31 22:00-22:30,北海道,8.88,4,17760,0.03,60,0.5
11605314502A00009,パワーシェアリング,2016/05/31 22:00-22:30,東北,7.89,1,3945,0.03,15,0.5
11605314503A00029,パワーシェアリング,2016/05/31 22:00-22:30,東京,7.89,2,7890,0.03,30,0.5
11605314506A00021,パワーシェアリング,2016/05/31 22:00-22:30,関西,7.89,2,7890,0.03,30,0.5
11605314509A00010,パワーシェアリング,2016/05/31 22:00-22:30,九州,7.89,1,3945,0.03,15,0.5
11605314601A00007,パワーシェアリング,2016/05/31 22:30-23:00,北海道,8.66,4,17320,0.03,60,0.5
11605314602A00009,パワーシェアリング,2016/05/31 22:30-23:00,東北,7.74,1,3870,0.03,15,0.5
11605314603A00030,パワーシェアリング,2016/05/31 22:30-23:00,東京,7.74,1,3870,0.03,15,0.5
11605314606A00022,パワーシェアリング,2016/05/31 22:30-23:00,関西,7.74,2,7740,0.03,30,0.5
11605314609A00010,パワーシェアリング,2016/05/31 22:30-23:00,九州,7.74,1,3870,0.03,15,0.5
11605314701A00008,パワーシェアリング,2016/05/31 23:00-23:30,北海道,7.71,2,7710,0.03,30,0.5
11605314702A00009,パワーシェアリング,2016/05/31 23:00-23:30,東北,6.21,1,3105,0.03,15,0.5
11605314703A00030,パワーシェアリング,2016/05/31 23:00-23:30,東京,6.21,1,3105,0.03,15,0.5
11605314706A00022,パワーシェアリング,2016/05/31 23:00-23:30,関西,6.21,2,6210,0.03,30,0.5
11605314709A00010,パワーシェアリング,2016/05/31 23:00-23:30,九州,6.21,1,3105,0.03,15,0.5
11605314801A00008,パワーシェアリング,2016/05/31 23:30-24:00,北海道,7.71,1,3855,0.03,15,0.5
11605314802A00009,パワーシェアリング,2016/05/31 23:30-24:00,東北,6.21,1,3105,0.03,15,0.5
11605314803A00030,パワーシェアリング,2016/05/31 23:30-24:00,東京,6.21,1,3105,0.03,15,0.5
11605314806A00021,パワーシェアリング,2016/05/31 23:30-24:00,関西,6.21,2,6210,0.03,30,0.5
11605314809A00010,パワーシェアリング,2016/05/31 23:30-24:00,九州,6.21,1,3105,0.03,15,0.5
